subject_id,seizure_id,recording_file,exclusion_reason,missing_required_channels,channel_names_used
chb12,chb12_sz15,chb12_27.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7-CS2;T7-CS2;P7-CS2;-;FP1-CS2;F3-CS2;C3-CS2;P3-CS2;O1-CS2;--1;FZ-CS2;CZ-CS2;PZ-CS2;--2;FP2-CS2;F4-CS2;C4-CS2;P4-CS2;O2-CS2;--3;F8-CS2;T8-CS2;P8-CS2;--4;C2-CS2;C6-CS2;CP2-CS2;CP4-CS2;CP6-CS2
chb12,chb12_sz16,chb12_27.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7-CS2;T7-CS2;P7-CS2;-;FP1-CS2;F3-CS2;C3-CS2;P3-CS2;O1-CS2;--1;FZ-CS2;CZ-CS2;PZ-CS2;--2;FP2-CS2;F4-CS2;C4-CS2;P4-CS2;O2-CS2;--3;F8-CS2;T8-CS2;P8-CS2;--4;C2-CS2;C6-CS2;CP2-CS2;CP4-CS2;CP6-CS2
chb12,chb12_sz17,chb12_27.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7-CS2;T7-CS2;P7-CS2;-;FP1-CS2;F3-CS2;C3-CS2;P3-CS2;O1-CS2;--1;FZ-CS2;CZ-CS2;PZ-CS2;--2;FP2-CS2;F4-CS2;C4-CS2;P4-CS2;O2-CS2;--3;F8-CS2;T8-CS2;P8-CS2;--4;C2-CS2;C6-CS2;CP2-CS2;CP4-CS2;CP6-CS2
chb12,chb12_sz18,chb12_27.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7-CS2;T7-CS2;P7-CS2;-;FP1-CS2;F3-CS2;C3-CS2;P3-CS2;O1-CS2;--1;FZ-CS2;CZ-CS2;PZ-CS2;--2;FP2-CS2;F4-CS2;C4-CS2;P4-CS2;O2-CS2;--3;F8-CS2;T8-CS2;P8-CS2;--4;C2-CS2;C6-CS2;CP2-CS2;CP4-CS2;CP6-CS2
chb12,chb12_sz19,chb12_27.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7-CS2;T7-CS2;P7-CS2;-;FP1-CS2;F3-CS2;C3-CS2;P3-CS2;O1-CS2;--1;FZ-CS2;CZ-CS2;PZ-CS2;--2;FP2-CS2;F4-CS2;C4-CS2;P4-CS2;O2-CS2;--3;F8-CS2;T8-CS2;P8-CS2;--4;C2-CS2;C6-CS2;CP2-CS2;CP4-CS2;CP6-CS2
chb12,chb12_sz20,chb12_27.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7-CS2;T7-CS2;P7-CS2;-;FP1-CS2;F3-CS2;C3-CS2;P3-CS2;O1-CS2;--1;FZ-CS2;CZ-CS2;PZ-CS2;--2;FP2-CS2;F4-CS2;C4-CS2;P4-CS2;O2-CS2;--3;F8-CS2;T8-CS2;P8-CS2;--4;C2-CS2;C6-CS2;CP2-CS2;CP4-CS2;CP6-CS2
chb12,chb12_sz21,chb12_28.edf,less_than_540_sec_preictal_available;missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7;T7;P7;-;FP1;F3;C3;P3;01;--1;FZ;CZ;PZ;--2;FP2;F4;C4;P4;O2;--3;F8;T8;P8;EKG1-CHIN;C2;C6;CP2;CP4;CP6
chb12,chb12_sz22,chb12_29.edf,less_than_540_sec_preictal_available;missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7;T7;P7;-;FP1;F3;C3;P3;01;--1;FZ;CZ;PZ;--2;FP2;F4;C4;P4;O2;--3;F8;T8;P8;EKG1-CHIN;C2;C6;CP2;CP4;CP6
chb12,chb12_sz23,chb12_29.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7;T7;P7;-;FP1;F3;C3;P3;01;--1;FZ;CZ;PZ;--2;FP2;F4;C4;P4;O2;--3;F8;T8;P8;EKG1-CHIN;C2;C6;CP2;CP4;CP6
chb12,chb12_sz24,chb12_29.edf,missing_required_channels,FP1-F7;F7-T7;T7-P7;P7-O1;FP1-F3;F3-C3;C3-P3;P3-O1;FP2-F4;F4-C4;C4-P4;P4-O2;FP2-F8;F8-T8;T8-P8;P8-O2;FZ-CZ;CZ-PZ;P7-T7;T7-FT9;FT9-FT10;FT10-T8,F7;T7;P7;-;FP1;F3;C3;P3;01;--1;FZ;CZ;PZ;--2;FP2;F4;C4;P4;O2;--3;F8;T8;P8;EKG1-CHIN;C2;C6;CP2;CP4;CP6
